"Date","County","PHR","Doses_Allocated","Doses_Administered","People_Vaccinated_Partial","People_Vaccinated_Full","Population_Over_16","Population_Over_65","Population_Phase_1A_Healthcare","Population_Phase1A_Care_Residents","Population_Phase_1B_Medical_Condition"
"2021-01-12","Anderson","4/5N",4700,"879","863","16","49346","8955","2590","833","24078"
"2021-01-12","Andrews","9/10",1100,"639","619","20","13954","1905","401","106","5867"
"2021-01-12","Angelina","4/5N",11200,"3471","3460","11","70388","14706","7603","1752","34525"
"2021-01-12","Aransas","11",500,"489","469","20","19727","6538","542","252","10102"
"2021-01-12","Archer","2/3",300,"291","263","28","7533","1887","107","59","3131"
"2021-01-12","Armstrong","1",200,"144","138","6","1693","588","37","86","659"
"2021-01-12","Atascosa","8",2700,"1197","1106","91","39065","7743","1181","655","17891"
"2021-01-12","Austin","6/5S",1300,"860","834","26","25584","6512","1069","396","10132"
"2021-01-12","Bailey","1",500,"141","139","2","5190","1024","156","74","2359"
"2021-01-12","Bandera","8",200,"567","542","25","19833","6530","426","186","9348"
"2021-01-12","Bastrop","7",1700,"1580","1472","108","70499","14746","2137","696","34606"
"2021-01-12","Baylor","2/3",600,"341","338","3","3002","916","156","97","1287"
"2021-01-12","Bee","11",1500,"698","656","42","26904","4202","1219","684","13037"
"2021-01-12","Bell","7",23200,"6812","5832","980","265191","37371","20144","2466","105279"
"2021-01-12","Bexar","8",194575,"70492","59782","10710","1541803","248261","127752","17100","696450"
"2021-01-12","Blanco","7",300,"220","208","12","10177","3274","167","102","4572"
"2021-01-12","Borden","9/10",0,"15","15","0","580","206","10","0","228"
"2021-01-12","Bosque","7",1900,"496","482","14","15491","4847","677","407","7171"
"2021-01-12","Bowie","4/5N",7875,"1831","1708","123","78179","16917","7877","1532","36179"
"2021-01-12","Brazoria","6/5S",11400,"11958","10156","1802","295635","48145","13914","2648","119229"
"2021-01-12","Brazos","7",13950,"3243","2947","296","185835","21605","10756","1278","64988"
"2021-01-12","Brewster","9/10",1000,"355","352","3","7291","1942","548","0","3547"
"2021-01-12","Briscoe","1",100,"113","112","1","1295","443","18","0","642"
"2021-01-12","Brooks","11",300,"136","136","0","5438","1441","396","246","2867"
"2021-01-12","Brown","2/3",1500,"737","716","21","31586","8452","1886","911","14261"
"2021-01-12","Burleson","7",500,"332","325","7","14721","3981","203","218","7277"
"2021-01-12","Burnet","7",2800,"874","842","32","39423","11162","2391","595","17381"
"2021-01-12","Caldwell","7",1200,"779","747","32","33813","6558","1744","524","16400"
"2021-01-12","Calhoun","8",1000,"595","570","25","17169","3944","608","254","7841"
"2021-01-12","Callahan","2/3",500,"402","300","102","11666","3185","310","122","5346"
"2021-01-12","Cameron","11",33950,"19960","16703","3257","315242","59778","33067","6480","149238"
"2021-01-12","Camp","4/5N",100,"241","225","16","10054","2412","353","154","4991"
"2021-01-12","Carson","1",200,"353","342","11","4769","1096","77","0","2031"
"2021-01-12","Cass","4/5N",300,"301","290","11","24447","7203","1609","550","12120"
"2021-01-12","Castro","1",300,"265","262","3","5574","1267","152","174","2718"
"2021-01-12","Chambers","6/5S",2900,"1096","999","97","34171","5692","1101","120","13721"
"2021-01-12","Cherokee","4/5N",4000,"1162","1131","31","41571","9380","1837","809","20430"
"2021-01-12","Childress","1",900,"445","440","5","5769","1177","276","136","2845"
"2021-01-12","Clay","2/3",300,"375","337","38","8544","2430","175","60","4071"
"2021-01-12","Cochran","1",100,"240","216","24","2167","497","66","0","1139"
"2021-01-12","Coke","9/10",0,"65","53","12","2839","957","47","130","1324"
"2021-01-12","Coleman","2/3",600,"223","212","11","6555","2051","418","162","3427"
"2021-01-12","Collin","2/3",39900,"26154","23183","2971","806242","118818","56174","7544","256993"
"2021-01-12","Collingsworth","1",300,"146","145","1","2177","574","94","92","1084"
"2021-01-12","Colorado","6/5S",600,"495","486","9","17682","5065","1057","477","7953"
"2021-01-12","Comal","8",8600,"4158","3819","339","125758","29676","7125","1845","45927"
"2021-01-12","Comanche","2/3",500,"482","478","4","11046","3438","418","292","5170"
"2021-01-12","Concho","9/10",0,"49","38","11","2381","528","81","66","1923"
"2021-01-12","Cooke","2/3",1500,"1035","1009","26","32501","7977","1347","552","14449"
"2021-01-12","Coryell","7",1600,"1028","980","48","58277","6832","1291","594","25149"
"2021-01-12","Cottle","2/3",0,"1560","1375","185","1120","400","5","0","608"
"2021-01-12","Crane","9/10",200,"128","127","1","3483","625","95","110","1547"
"2021-01-12","Crockett","9/10",0,"61","56","5","2687","716","45","56","1307"
"2021-01-12","Crosby","1",200,"213","198","15","4386","1236","127","115","2252"
"2021-01-12","Culberson","9/10",200,"75","75","0","1797","529","79","0","972"
"2021-01-12","Dallam","1",700,"75","75","0","5092","691","95","0","2336"
"2021-01-12","Dallas","2/3",184875,"68980","57480","11500","2015538","284171","183122","21354","820238"
