"District","Date","County","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Cayuga ISD","2020-09-20","Anderson,Freestone,Henderson",1902,544,415,0,0,2,0,0,0,2,3,0,12,4,0,13,6
"Elkhart ISD","2020-09-20","Anderson,Houston,Leon",1903,1207,1095,0,1,0,1,0,2,0,0,1,5,13,0,3,16
"Frankston ISD","2020-09-20","Anderson,Cherokee,Henderson",1904,760,688,0,1,0,0,0,1,0,1,1,3,0,0,5,0
"Neches ISD","2020-09-20","Anderson,Cherokee",1906,317,313,NA,NA,NA,NA,NA,NA,NA,0,0,2,3,0,1,4
"Palestine ISD","2020-09-20","Anderson,Cherokee",1907,3384,2857,0,0,6,4,0,10,0,2,0,18,20,1,31,8
"Westwood ISD","2020-09-20","Anderson,Freestone,Leon",1908,1358,1102,0,1,4,0,0,4,1,0,3,12,3,1,12,5
"Slocum ISD","2020-09-20","Anderson,Cherokee,Houston",1909,350,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrews ISD","2020-09-20","Andrews,Ector,Gaines,Martin,Midland,Winkler",2901,4145,3389,0,0,0,2,0,2,0,4,5,13,13,0,34,1
"Pineywoods Community Academy","2020-09-20","Angelina",3801,988,653,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,0,1,2
"Hudson ISD","2020-09-20","Angelina,Houston,Trinity",3902,2793,2309,0,0,1,0,0,0,1,4,3,9,4,0,12,8
"Lufkin ISD","2020-09-20","Angelina,Nacogdoches",3903,7386,5612,0,2,8,1,1,9,1,12,5,21,11,3,26,20
"Huntington ISD","2020-09-20","Angelina,Nacogdoches",3904,1571,1420,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,0,5,0
"Diboll ISD","2020-09-20","Angelina,Polk,Trinity",3905,1872,1478,NA,NA,NA,NA,NA,NA,NA,2,0,4,1,0,2,5
"Zavalla ISD","2020-09-20","Angelina,Jasper,Nacogdoches,Polk,San Augustine,Tyler",3906,302,266,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,1,3,0
"Central ISD","2020-09-20","Angelina,Cherokee,Houston,Nacogdoches",3907,1439,1203,0,0,1,0,0,1,0,2,0,2,4,0,8,0
"Aransas County ISD","2020-09-20","Aransas,Calhoun,Nueces,Refugio,San Patricio",4901,2994,1746,NA,NA,NA,NA,NA,NA,NA,1,1,5,0,0,1,6
"Archer City ISD","2020-09-20","Archer,Clay,Jack,Wichita,Young",5901,512,477,0,0,0,1,0,1,0,0,0,1,2,0,2,1
"Holliday ISD","2020-09-20","Archer,Baylor,Wichita",5902,1044,994,0,2,1,1,0,0,4,1,2,5,4,0,3,9
"Windthorst ISD","2020-09-20","Archer,Clay",5904,416,404,NA,NA,NA,NA,NA,NA,NA,0,2,6,9,3,1,13
"Claude ISD","2020-09-20","Armstrong,Briscoe,Carson,Donley,Potter,Randall,Swisher",6902,318,308,0,0,0,1,0,0,1,0,0,0,1,0,0,1
"Charlotte ISD","2020-09-20","Atascosa,Frio,La Salle",7901,413,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jourdanton ISD","2020-09-20","Atascosa",7902,1554,1238,0,1,0,0,0,1,0,1,1,3,1,0,5,1
"Lytle ISD","2020-09-20","Atascosa,Bexar,Medina",7904,1728,999,0,0,4,0,0,4,0,0,1,9,0,0,9,1
"Pleasanton ISD","2020-09-20","Atascosa,Bexar,Karnes,Live Oak,McMullen,Wilson",7905,3419,2211,NA,NA,NA,NA,NA,NA,NA,1,0,1,5,0,4,3
"Poteet ISD","2020-09-20","Atascosa,Bexar,Frio,Medina",7906,1590,570,NA,NA,NA,NA,NA,NA,NA,1,0,5,1,0,7,0
"Bellville ISD","2020-09-20","Austin,Colorado,Fayette,Waller,Washington",8901,2223,2017,NA,NA,NA,NA,NA,NA,NA,0,0,1,3,0,0,4
"Sealy ISD","2020-09-20","Austin,Colorado,Fort Bend,Waller",8902,2790,2148,NA,NA,NA,NA,NA,NA,NA,0,1,4,3,0,1,7
"Brazos ISD","2020-09-20","Austin,Colorado,Fort Bend,Wharton",8903,781,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muleshoe ISD","2020-09-20","Bailey,Lamb,Parmer",9901,1346,1205,1,0,9,4,0,13,1,1,1,18,8,0,27,1
"Medina ISD","2020-09-20","Bandera,Kerr,Medina",10901,276,267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bandera ISD","2020-09-20","Bandera,Bexar,Kendall,Kerr,Medina",10902,2160,1731,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Bastrop ISD","2020-09-20","Bastrop,Caldwell,Lee,Travis",11901,10342,5277,1,1,0,0,0,2,0,2,3,6,5,0,13,3
"Elgin ISD","2020-09-20","Bastrop,Lee,Travis,Williamson",11902,4610,1611,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,0,4
"Smithville ISD","2020-09-20","Bastrop,Caldwell,Fayette,Lee",11904,1706,1145,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Mcdade ISD","2020-09-20","Bastrop,Lee",11905,335,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Seymour ISD","2020-09-20","Archer,Baylor,Foard,Haskell,Knox,Throckmorton,Wilbarger",12901,616,585,0,0,0,1,0,0,1,0,0,1,1,0,1,1
"St Mary's Academy Charter School","2020-09-20","Bee",13801,399,193,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,1,1
"Beeville ISD","2020-09-20","Bee,Goliad,Live Oak,Refugio",13901,3098,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pawnee ISD","2020-09-20","Bee,Karnes,Live Oak",13902,185,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pettus ISD","2020-09-20","Bee,Goliad,Karnes",13903,345,260,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Skidmore-Tynan ISD","2020-09-20","Bee,Live Oak,Refugio,San Patricio",13905,805,462,NA,NA,NA,NA,NA,NA,NA,0,0,8,10,0,0,18
