"County","Date","Data_Type","cases_percentdiff","tests_percentdiff","cases_percentdiff_spline","cases_percentdiff_spline_lower","cases_percentdiff_spline_upper","tests_percentdiff_spline","tests_percentdiff_spline_lower","tests_percentdiff_spline_upper"
"Anderson",2020-04-22,"Raw",0,0,399.714191018877,-43.8772750217884,843.305657059543,-181.552060946888,-2313.37340127965,1950.26927938587
"Anderson",2020-04-23,"Raw",-100,25,400.05088829918,-42.4672099281259,842.568986526486,-177.626349316533,-2222.2383458994,1866.98564726633
"Anderson",2020-04-24,"Raw",-50,166.666666666667,400.387576274384,-41.078259848769,841.853412397536,-173.608043582313,-2133.00346496665,1785.78737780202
"Anderson",2020-04-25,"Raw",-100,-33.3333333333333,400.724245639388,-39.7106694574467,841.159160736224,-169.404549640364,-2045.92031961629,1707.11122033556
"Anderson",2020-04-26,"Raw",-50,-100,401.060887089095,-38.3646503543353,840.486424532526,-164.923273386824,-1961.25212919033,1631.40558241668
"Anderson",2020-04-27,"Raw",-75,91.6666666666667,401.397491318405,-37.0403809196769,839.835363556486,-160.071620717827,-1879.27199559538,1559.12875415973
"Anderson",2020-04-28,"Raw",0,-100,401.734049022218,-35.7380063259122,839.206104370347,-154.756997529509,-1800.25983270433,1490.74583764532
"Anderson",2020-04-29,"Raw",-100,208.333333333333,402.070550895434,-34.4576387113259,838.598740502195,-148.886809718007,-1724.49759399826,1426.72397456225
"Anderson",2020-04-30,"Raw",50,58.3333333333333,402.406987632956,-33.1993575179487,838.01333278386,-142.368463179456,-1652.2623733255,1367.52544696659
"Anderson",2020-05-01,"Raw",-75,-108.333333333333,402.743349929683,-31.9632099961855,837.449909855551,-135.109363809991,-1583.81700345099,1313.59827583101
"Anderson",2020-05-02,"Raw",-50,25,403.079628480515,-30.7492118783564,836.908468839387,-127.016917505749,-1519.3979352088,1265.3641001973
"Anderson",2020-05-03,"Raw",-100,-91.6666666666667,403.415813980355,-29.5573482230449,836.388976183755,-117.998530162867,-1459.20048390063,1223.20342357489
"Anderson",2020-05-04,"Raw",-100,125,403.751897124102,-28.3875744318588,835.891368680062,-107.961607677478,-1403.36199392627,1187.43877857131
"Anderson",2020-05-05,"Raw",-50,-100,404.087868606656,-27.2398174399069,835.415554653219,-96.8135559457207,-1351.94406280341,1158.31695091197
"Anderson",2020-05-06,"Raw",0,1016.66666666667,404.42371912292,-26.1139770810086,834.961415326848,-84.4617808637292,-1304.91557409529,1135.99201236783
"Anderson",2020-05-07,"Raw",-50,141.666666666667,404.759439367792,-25.0099276283592,834.528806363944,-70.8136883276398,-1262.13873492352,1120.51135826824
"Anderson",2020-05-08,"Raw",-75,208.333333333333,405.095020036175,-23.9275195110965,834.117559583447,-55.7766842335889,-1223.36038872317,1111.80702025599
"Anderson",2020-05-09,"Raw",-100,58.3333333333333,405.430451822968,-22.8665812069414,833.727484852878,-39.2581744777114,-1188.21042905432,1109.6940800989
"Anderson",2020-05-10,"Raw",-100,175,405.765725423073,-21.8269213108279,833.358372156974,-21.1655649561437,-1156.2081850635,1113.87705515122
"Anderson",2020-05-11,"Raw",-100,16.6666666666667,406.100831531389,-20.8083307791915,833.00999384197,-1.40626156502191,-1126.77639385598,1123.96387072594
"Anderson",2020-05-12,"Raw",125,416.666666666667,406.435760842819,-19.8105853493578,832.682107034995,20.1123297995183,-1099.26117068351,1139.48583028254
"Anderson",2020-05-13,"Raw",-100,16.6666666666667,406.770504052261,-18.8334481332614,832.374456237784,43.4828032413411,-1072.95558053641,1159.92118701909
"Anderson",2020-05-14,"Raw",-75,83.3333333333333,407.105051854618,-17.8766723845281,832.086776093764,68.7977528643107,-1047.12419639252,1184.71970212115
"Anderson",2020-05-15,"Raw",-75,-83.3333333333333,407.439394944789,-16.9400044377784,831.818794327356,96.1497727722916,-1021.02637393778,1213.32591948236
"Anderson",2020-05-16,"Raw",-50,0,407.773524017675,-16.0231868188504,831.570234854201,125.631457069146,-993.936683925906,1245.1995980642
"Anderson",2020-05-17,"Raw",-100,75,408.107429768178,-15.1259615244936,831.340821060849,157.335399858741,-965.161768182533,1279.83256790002
"Anderson",2020-05-18,"Raw",-100,1158.33333333333,408.441102891197,-14.2480734699585,831.130279252352,191.354195244939,-934.053617382785,1316.76200787266
"Anderson",2020-05-19,"Raw",50,116.666666666667,408.774534081633,-13.3892741027861,830.938342266052,227.780437331604,-900.01979924638,1355.58067390959
"Anderson",2020-05-20,"Raw",-75,0,409.107714034387,-12.5493251809933,830.764753249768,266.7067202226,-862.531478296871,1395.94491874207
"Anderson",2020-05-21,"Raw",-50,-8.33333333333334,409.44063344436,-11.7280027137468,830.609269602467,308.225638021792,-821.130204649702,1437.58148069329
"Anderson",2020-05-22,"Raw",-75,208.333333333333,409.773275061646,-10.9251287247836,830.471678848077,352.389523333536,-775.526142117553,1480.30518878463
"Anderson",2020-05-23,"Raw",-50,-100,410.105589857118,-10.1406563162286,830.351836030465,399.089662764158,-725.873907976347,1524.05323350466
"Anderson",2020-05-24,"Raw",-100,383.333333333333,410.437520856842,-9.37458312263124,830.249624836315,448.177081420474,-672.484076754685,1568.83823959563
